project_id,note_id,date,author,note_type,content,photos_attached,weather,temp_high,temp_low
PRJ-2018-052,57ce7e78,2018-03-05,J. Martinez,Issue Log,Met with fire protection foreman re: coordination. Scheduled joint walkthrough Friday. Action items: FP to adjust sprinkler head locations,0,Cold,59,62
PRJ-2018-052,3702f628,2018-03-06,K. Thompson,Coordination Note,Equipment startup for AHU-2. Minor vibration issue - balancing tomorrow. Punch list items: sensor calibration.,3,Cold,71,58
PRJ-2018-052,1cdc425b,2018-03-07,R. Williams,Inspection Note,Received delivery of VAV boxes - 61 units. All accounted for. Staged at laydown area A.,1,Cold,57,75
PRJ-2018-052,fab6083e,2018-03-08,K. Thompson,Safety Log,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Completed piping pressure test - passed.,1,Cold,71,52
PRJ-2018-052,fea65f77,2018-03-15,R. Williams,Safety Log,Installed 192 LF of duct on floor 2. Rework required grid C-4. Inspections needed: rough-in Friday.,0,Cold,96,73
PRJ-2018-052,cd1da13e,3/16/18,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Continued ductwork installation per plan.,3,Clear,91,59
PRJ-2018-052,9bca6bd8,3/19/18,J. Martinez,Inspection Note,Installed 172 LF of duct on floor 12. Passed QC inspection. Inspections needed: none.,5,Clear,83,60
PRJ-2018-052,7ff68261,2018-03-20,R. Williams,Inspection Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: on track. RFIs pending: 14.",3,Clear,93,48
PRJ-2018-052,80244fbc,2018-03-21,K. Thompson,Daily Report,"Crew arrived 0630. Weather: Clear, 72°F. 5 workers on site. Focus today: ductwork installation Floor 3. Behind schedule due to material delay.",5,Hot,91,72
PRJ-2018-052,6f7f49dc,2018-03-22,K. Thompson,Coordination Note,Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Continued ductwork installation per plan.,3,Rain,100,52
PRJ-2018-052,ff39ac95,2018-03-23,K. Thompson,Issue Log,Working in Zone 3 - 91% complete this zone. Remaining: diffusers and connections.,4,Cloudy,62,62
PRJ-2018-052,49762a4e,2018-03-26,J. Martinez,Coordination Note,Equipment startup for FCU bank west. Minor vibration issue - balancing tomorrow. Punch list items: 3 minor items.,0,Cold,77,45
PRJ-2018-052,c966e80c,2018-03-27,J. Martinez,Inspection Note,"Crew arrived 0600. Weather: Hot, 95°F - heat protocol. 9 workers on site. Focus today: startup AHU-2. Ahead of plan.",5,Rain,61,70
PRJ-2018-052,4360bb57,2018-03-28,K. Thompson,Inspection Note,Met with plumbing foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,3,Cold,83,51
PRJ-2018-052,a7449b72,2018-03-30,J. Martinez,Safety Log,"Crew arrived 0630. Weather: Cold, 35°F. 13 workers on site. Focus today: TAB work zones 1-4. Inspection passed.",3,Hot,96,58
PRJ-2018-052,b241b955,2018-04-02,M. Chen,Coordination Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 4.",2,Cold,74,71
